,2004_AVERAGE_SCORE,2005_AVERAGE_SCORE,2006_AVERAGE_SCORE,2007_AVERAGE_SCORE,2008_AVERAGE_SCORE,2009_AVERAGE_SCORE,2010_AVERAGE_SCORE,2011_AVERAGE_SCORE,2012_AVERAGE_SCORE,2013_AVERAGE_SCORE,2014_AVERAGE_SCORE
Texas State University,14895,14960,15015,15441,14384,15602,15568,15311,15736,15656,15717
"Texas A&M University, College Station",18041,18134,18198,18444,18199,18295,18241,18332,18342,18718,18475
University of Texas at Arlington,12867,12615,13196,13195,13441,13546,13753,13446,13672,13314,13778
University of Texas at Austin,19198,18552,19351,19536,19866,19729,19788,19720,19785,19734,19857
University of Texas at El Paso,14756,15004,15133,15540,15306,15312,15402,15310,15575,15562,15706
Texas Christian University,16969,17074,17226,17465,17528,17552,18592,18486,17230,17565,16347
University of Texas at San Antonio,12496,12917,13482,14822,14848,15153,15306,15436,16499,16475,16613
Texas Southern University,13895,13088,14222,12344,11415,11797,13751,14701,15411,15263,15517
Texas Tech University,14888,15914,16027,16353,16604,16480,16718,16278,15337,16373,16725
Brigham Young University,20030,20217,20181,19917,20427,20389,20433,20478,20312,20392,20142
Southern Utah University,12104,13142,13078,12922,14112,14168,15297,15334,15444,15467,15384
Utah State University,15353,14142,15257,15130,15324,15448,15700,15698,15626,15546,15624
Utah Valley University,-1485,-1485,-1485,13496,14044,14613,14561,14386,14290,14599,14509
University of Utah,17296,17097,16827,17415,17417,17752,17649,17526,17640,17740,17785
Weber State University,14041,14016,13835,14184,14362,14313,15379,15400,15457,15605,15460
University of Vermont,14273,13293,17424,17531,17715,17577,17846,17682,17779,17668,17702
College of William and Mary,21653,19540,20511,21451,22412,21529,22731,22603,21566,21650,21762
George Mason University,20713,19173,17869,21328,21247,21263,20305,21189,21460,21456,21478
Hampton University,15274,14899,15290,15034,14999,15014,15122,15234,15452,15469,13508
James Madison University,15376,15526,14444,14454,17550,17668,17391,17094,17770,17650,17700
Liberty University,16021,15853,16076,15901,16103,16238,16336,18523,19614,19709,19518
Longwood University,-1386,-1386,13163,13503,13656,13722,12673,11480,13787,13614,13614
Norfolk State University,12869,12803,12957,13956,13732,13507,13223,13276,13886,14369,14328
Old Dominion University,12877,13116,13322,13272,13247,14404,15459,15437,15758,15706,15647
Radford University,14376,14525,14602,14683,14502,13298,13321,14595,14411,14886,14750
University of Richmond,15503,15571,15695,15221,15685,15819,15658,15780,15798,15737,14584
Virginia Polytechnic Institute and State University,20158,20091,20028,20383,20518,20545,20853,20547,20308,20308,20549
Virginia Commonwealth University,13982,15178,14983,15256,15656,15560,15176,15496,15652,15594,15379
